書名,作者,分類,狀態,按讚數,出版社,tag,,,,,連結,簡介
Destiny 光與影的羈絆(04)白梅下的等待,翼翎,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3365,"她和他第一次相遇在那大雪紛飛的夜晚，他救了她，為她留下了日後的預言及命運，而當他和她再次相遇時，也是在如白雪般的梅花樹下，這次的他為她留下的是無盡的憂傷及懊悔。
伸手想要握住他的手，卻發現他的身影如同梅花瓣片片紛飛，直到最後消失在自己的眼前，他身上所隱藏的秘密，隨著時間的前進而被揭開。
「從來就沒有人教會我如何堅強，也從來沒有人教會我如何軟弱。」
「那麼，我教妳吧，用我的一生來教妳吧，我會緊抓著妳的手，直到我放手之前，妳必須學會真正的堅強。」
「真正的堅強，不是在該哭時不哭，而是在哭完後，還記得如何去笑。」
我這一生不為誰上了心，唯獨只有妳……讓我就算失去一切，也想護妳一世周全，哪怕從今以後……再也無法相見。
──不求擁有、也不求失去，只求在我有生之年，遇見了妳。"
穿越變蘿莉(06)生命禁區,白日幻夢,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3240,"林日揚一行人因為四大學苑賽在1024區開始了為期40天的試煉期，完全把試煉當成郊遊的林日揚本以為能平安度過40天，沒想到才開始沒幾天就情況驟變！
自創世以來便存在魔幻森林中的五行生命禁區突然不明原因消失，就在未能及時阻止的四神猶豫是否以自身遭困的代價換得五行平穩之時，失蹤已久的日神突然出現力挽狂瀾，付出的卻是誰都不願承受的。
「一直以來都是他們呵護著我，我沒幫他們做過什麼，當我的生命走到盡頭，回想過去，最多的就是後悔。」──日神。"
永樂神社的巫女(05)九姑娘與阿柯,阿次,奇幻科幻,完結,4,飛燕文創,奇幻,,,,,https://mojoin.com/novels/2433,"我和冶金終於踏入雲夢並找到白澤——本以為，就算不能直接取回靈力好歹也能問到恢復方法。
卻沒想到，那頭大白牛不僅語焉不詳，還說什麼打從冶金來永樂開始就是在應驗一個預言，最後更扯出惡水神共工、九尾妖狐以及永樂村三千年前的黑歷史……
好啊，現在連出門踏青都要先和前世今生打個招呼了是不是？"
穿越變蘿莉(07)流星雨,白日幻夢,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3243,"因為日神的介入，讓四神得以平安脫身，免去被代替神物禁錮在禁區的危機，可五行禁區的消失依然無法挽回，盤古大陸正式以群獸暴亂開啟了亂世時期。
林日揚在日神送他返回之前再一次陷入昏迷，意識模糊之間隱約看見了日神與盤古、女媧三位創世神皇齊聚，三位神皇的對話令他得知，原來日神召見他竟另有寓意？

衰星太強悍！這次整個盤古大陸都一起帶衰了……
林日揚風中凌亂著外加寬海帶淚，縮在陰暗角落裡啜泣，他負責自己的小命就已經很吃力了，可不可以不要把其他重責大任加到他身上來啊？這不是強迫他當餐桌嘛！
還要去和親？！有沒有搞錯？小蘿莉傷不起的你知不知道啊！"
鍾馗 鬼王事件簿(07)龍與帝,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3491,"這年頭，別說友誼大使不好當，連一個拿鑰匙開門的，日子同樣不好混……
這連純陽老祖都避之唯恐不及、御用丹房的「開門大使」，偏偏玉帝欽點，落在了鍾馗頭上。
為了達到百分百的煉丹成功率，鍾馗明知有鬼，也只能硬著頭皮上！
問、題、是──玉帝陛下很明顯漏說一句關鍵情報：「內有脫衣色女，慎入！」"
武裝巫女(01)武裝出動,醉蝠,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3515,"伊克流島．達克城－－這是巫女的國度，也是所有陰謀詭計誕生之地，只有心懷險惡、居心不良之人才能找到這個地方。
來自達克城的幽靜影，她美貌與暴力兼具，她發誓要成為這個世界上最偉大的巫女！
因為一椿任務，她與助手哥布林離開了伊克流島，不僅展開了一段全新的巫女傳奇，也注定要在大陸上掀起一陣罪惡狂瀾！"
黃泉之狩 第二部(01)設局,貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3410,"紛亂的糾葛、未完的事件，再度捲土重來……
看似塵埃落定，平靜的表象下卻掀起了波瀾。
已故的天使伊格爾，究竟發現了什麼秘密，
為什麼讓天堂的偵查廳如此緊張？
吸血鬼與狼人紛紛現身義大利，他們群聚的目的為何？
是否又有什麼計謀浮現？

混沌不明的絲線漸漸交織成網，續譜出另一個新面貌
在光與闇的對峙之中，遮蔽的濃霧即將散去，真相將逐漸清晰……
身邊的人究竟是敵是友？
我們所相信的，究竟是真理或是假象？"
闇!騎士外傳－模範騎士的學院日誌（下）,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3518,"熱鬧長假正式開跑！放出牢籠的菜鳥見習騎士們五五成隊，四散在威倫帝國廣闊的國土上，展開他們生平第一遭試煉。
只不過，命運之神的心情顯然不是很好，穆亞的冒險小隊先後「拾獲」莫名其妙的兔子一隻、心懷不軌的魔族三名、肩負使命的聖騎士一位──無庸置疑，這絕對是支龍蛇混雜、內部談不上團結的混亂隊伍。
偏偏這樣的組合，被迫一路披荊斬棘戰豪強，甚至到了最後關頭，還得面對自己人內訌！
難過的關卡一道接一道，穆亞更要面對第一次殺人見血的內心煎熬。他該如何堅持自己的志向，完成作業、走出自己的騎士道？"
穿越變蘿莉(09)圖窮匕見,白日幻夢,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3252,"鬼畜出沒住意！！
宇文兄弟明擺著基情四射，為神馬還要他去和親？
莫非是想娶過去給弟受各種辛酸血淚ＳＭ？
他能不能選擇不參加？

失蹤已久的趙紫陽終於有消息了？
林日揚一行人終於和宇文承皓在汨城會面，一邊緊鑼密鼓的暗中策畫營救趙紫陽。宇文承皓果然來者不善，只是怎麼好像有興趣的不是他啊？
林日揚囧囧有神，只覺天雷滾滾：「姚傲璿你還不從實招來？風流債請自己扛！」
終於重拾『不是人』實力的林日揚，宣告拒絕再當小綿羊啦～～"
零度領域 新裝版(02),貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3194,"bug？你說我是個bug！
等等，今天又不是愚人節，開什麼玩笑啊！

真是的，沒想到老哥竟然對外人比對我好，
他想玩遊戲，我不但要保護他，還要偽裝成他的女朋友？
別開玩笑了！要是這件事情被戰神的人知道，我的形象就毀了！

機器人阿光想要找主人？
沒問題！這件事情我一定會幫到底！
啥？你忘記主人的模樣了？這、這要我怎麼找啊？"
闇!!騎士(10)光與闇的交叉點END,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3467,"bug？你說我是個bug！
等等，今天又不是愚人節，開什麼玩笑啊！

真是的，沒想到老哥竟然對外人比對我好，
他想玩遊戲，我不但要保護他，還要偽裝成他的女朋友？
別開玩笑了！要是這件事情被戰神的人知道，我的形象就毀了！

機器人阿光想要找主人？
沒問題！這件事情我一定會幫到底！
啥？你忘記主人的模樣了？這、這要我怎麼找啊？"
魔族少女的藥引(03)邁向新未來的抉擇(END),花鈴,奇幻科幻,完結,33,飛燕文創,奇幻,,,,,https://mojoin.com/novels/2456,"「不論未來發生什麼事情，即便黑暗將妳包圍，我會成為妳的眼睛，我不會讓妳失明，失去這一輩子最後的色彩……」

那勒斯戰役後，身體虛弱的佟真迫切需要全新的晶體挽救魔祿司之眼。
可是關於夜國晶體的下落始終是個謎。

幸運的是，在戈汀、御羅多和單諾齊心協力下，終於查出晶體的所在位置，一行人決定事不宜遲前往夜國尋找晶體。
豈料，異次元死靈體再度逆襲而來。
鑒於佟真先前回到現實世界時，異次元入口已無法承受死靈體的攻擊。
納爾加大陸陷入水深火熱的煎熬，沒有反抗力的人族成為死靈體的養分，魔族同樣傷亡慘重，即使三人異能優秀，也無法阻止死靈體透過異次元裂縫入侵。

在納爾加大陸的劇烈動盪不安下，守護晶體的婦人向佟真娓娓道來一段故事，使得佟真陷入兩難的抉擇，付出的代價讓戈汀和御羅多無法接受。
在家園和魔祿司上，該如何抉擇？"
魔法禁止事項(03)禁止用魔法成為神(END),楊寒,奇幻科幻,完結,50,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3349,"澹臺球等一行人在格陵蘭島發現了巨龍的真相之後，他們為了逃避羅馬教廷的通緝，卻因為傳送魔法的失誤，而來到了酷熱的沙漠、寒冷的高原……
在幾乎環繞世界一圈之後，他們重回歐洲並瞭解到「雅典聖戰」中，違反魔法禁止事項的真相和瓶中小人叛變的緣由……"
黃泉之狩(04)魂變,貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3370,"「你要我到佐˙司魂院打工？」
「玹澄楓說他們那邊很缺人手，想找短期工讀生，所以我就幫妳答應了。」
「喂！我是要你去找工作、接案子，不是要你去『幫我』找工作！」
「我知道啊，所以我不是用妳個人的名義，我是用事務所的名義去接這份工作。」
「你的意思是說……我在佐˙司魂院工作賺到的薪水，不是我個人的，是事務所的？」
「沒錯。」
「你、你怎麼可以這樣！就算是人力派遣公司，他們也只是抽個一成、兩成！你竟然要全部拿走？你這種行為簡直就跟搶匪沒什麼兩樣！你這個黑心奸商！」

奇怪，身體怎麼覺得怪怪的，難道我生病了嗎？改天給醫生檢查好了。
『不用掙扎了，妳很快就變的跟我一樣。』
『來當我的實驗品吧！看看人類如何變成妖怪。』
『妳跟我們都一樣，都是妖怪。』
『妖怪，怪物！』
『妳也會變成跟我們一樣，都是怪物！』
不，我不會！我不要！"
零度領域 新裝版(03),貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3211,"傳說中的老橋段、老設定──一個經常會炸燬自己家的蠢博士登場！
請大家掌聲鼓勵鼓勵～～
啊？事情不是我想的那樣？我誤會了？
唉呦，誰叫康帕納博士用這種出醜的方式出現呢！
話說回來，不過就是聊天嘛！博士的臉未免也紅的太離譜了吧？

沒想到阿光身上有主人的照片啊？
嘖！不會早點拿出來嗎？這樣至少線索比較多一點啊！
原來這就是阿光的主人啊？怎麼看起來很眼熟哩？

沒想到要維修阿光竟然還要有其他資料？
這還真是麻煩啊，我們到底要去哪邊找資料呢？
嗯？等等，那個好像就是……"
Destiny 光與影的羈絆(03)虛偽的救贖,翼翎,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3364,"在前往精靈族的路途，梧莘先來到大陸中的三不管地帶，人稱罪惡之城──安格斯城一趟，而安格斯城正逢黑色慶典全面黑色解禁！
久不見的故人紛紛出現，光之子民的精靈樹賢，日倌月青的美麗雙子，詭譎的黑色地牢以及那神秘的藍色身影，一切都將過去的四年拉開序幕。
從朦朧的空白中抽絲剝繭，找出連自己也不知道的那個被隱藏的過去。
「生死如同過眼雲煙，人類的生命之於你們也不過只是短暫的一瞥。」
「妳的存在，就是我現在最大的意義，我會追著妳的腳步，只希望能待在距離妳最近的地方。」
當我閉上雙眼，那些歡笑、悲痛，依然清晰可見，彷彿就如昨日一樣，但其實時間已經把我們推離了好遠的距離。
我們以為所有的事情都沒變，當我們回過頭，會發現什麼都變了，但無論妳變成什麼樣子，無論妳的過去是什麼，我只想讓妳知道。
──我想要的，就只是妳。"
少年土地公 紀事本末(02)就算我是土地公，我也不可能了解女孩子在想什麼啊!!,楊寒,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3306,"青瘟鬼王下了通緝令，緝拿「台灣府台中州西濱南縣城隍顯佑伯轄下的清海里東土地公張德楚（ONLY ALIVE）」。　
懸賞令的正中央是白髮美少女的照片——不對，是我自己的照片！
是哪個渾蛋傢伙用了「美肌」、「柔焦」的效果偷拍我？
等等！我被懸賞了!?還懸賞了五千萬冥幣！
是說懸賞單上為什麼要寫英文？這樣比較有氣氛嗎？
還有，為什麼我的轄區內有老虎出沒啊——？

喂喂，這是哪裡的動物園跑出來的老虎，還可以咬鬼!?"
禁斷凶獸少女的不當召喚法(03)假面窮奇,二迴林,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2977,"伴隨著驚天動地的總統暗殺事件，戴著神秘面具、身著馬甲洋裝、自稱窮奇的少女登場了。
和過去的凶獸截然不同，根據自己本意對人類痛下毒手的她，是個難以親近的存在。
「啊啊啊啊啊！右手──我的右手！」
這是何苦呢？只要安分的待在一旁，孤家是不會隨便出手的喔～」
同時，炎修家迎來了一位意料之外的訪客。
「真過份，你們已經忘記我了嗎？」
表面上就像國小孩童的女娃──東碧云，竟然自稱是兄妹倆的「原監護人」。
更巧的是，她也正在追蹤窮奇的下落。
這些事件間到底有著怎樣的關聯？
與黃麟產生嫌隙的炎修一行人又是否能看穿局勢，趕在鎮特與
之前感化窮奇，使她成為夥伴呢？"
闇!!騎士(09)戰火連綿幾時休,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3466,"戰火重燃，吟遊詩人口中傳唱的重量級敵人粉墨登場！
威倫全境風聲鶴唳，究竟魔族這番大動作的根本原因是什麼？
難道真是為了侵略而侵略？
追隨洛特來到人間的女惡魔再次現身，而且似乎把握著侵略軍的部份兵權？
一場洛特與舊情人的火爆交鋒，儼然已不可避免！"
穿越變蘿莉(08)獸潮來襲,白日幻夢,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3244,"幻森城獸潮在林日揚的瘋魔狀態下宣告結束，順便把覬覦自己的蜜蜂蝴蝶變成豺狼虎豹！
趙紫陽的失蹤讓眾人束手無策，兇手究竟與製造一連串驚人事件的人馬是不是同一批？事態撲朔迷離，就算是神靈也不再無往不利，世界正在悄然改變，而還未有所察覺的林日揚面對了也許是人生中最大的危機……

某腹黑：「我是初吻，而你卻不是？」
某天然：「這不能怪我啊！」
某暴虐：「死心吧！你只能對我負責！」
組團前來相親的新王也不好惹，林日揚內牛滿面，很想把自己砍掉重練！
「神啊──趕快讓我再穿越回去吧──」"
生平記述完結後的異世界自由人生,雲水靜,奇幻科幻,完結,40,原創星球,輕鬆,魔法,日常,異世界,,https://mojoin.com/novels/467,"一名高中生因為樸實無華的老套原因穿越到異世界，展開一段全新的自由人生。
在生前感受過各種惡意的他，到了異世界之後逐漸敞開了自己的內心。
這裡有著許多未知的新鮮事物，還有主角染盡鮮明色彩的全新未來！
以老套為前提的異世界全新物語，就此展開！"
黃泉之狩 第二部(06)糾纏,貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3447,"邦加西將巨劍收在背後，不滿的嘀嘀咕咕。「阿薰明明說死神很有趣，這種傢伙哪裡有趣了？」
聽到邦加西說出「薰」這個字，走在隊伍後頭的尚漓猛然煞住腳。
「你說什麼？」他快步衝到他面前，焦急的抓著他的手臂，「你剛才說的阿薰是季薰嗎？來自人界？她身邊還跟著一個叫做魈的人對不對？她沒事吧？有受傷嗎？」
「你想知道？」邦加西圓滾滾的眼睛轉了轉，露出狡詐的燦笑，「跟我打一場，贏了我就告訴你。」

為了修復結界，死神們來到魔界，尚漓在攔路的魔族人口中得知季薰的消息，這讓他喜出望外，只是這位魔族人似乎有些麻煩吶……

「瑪格……麗特？」
看著那張熟悉的臉孔，魈的大腦瞬間空白了一秒，他從沒想過會再遇見她，而且還是在這個地方、這個時代。
「……愛德華？」與他對上視線的瑪格麗特先是一愣，而後驚喜萬分的尖叫一聲，張開雙臂撲入他懷裡。
「……」如此意外的畫面讓DA小組與季薰全都愣住。
這名被DA小組救回的女子，似乎跟魈關係菲淺呢！"
零度領域 新裝版(09),貓邏,奇幻科幻,完結,10,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3241,"告白！我要告白！
對！既然已經下定決心了，那就要去做！
遙日！等我來追求你吧！

這個公會城的任務還真是麻煩！
一直要我們跑來跑去，真是浪費時間！
吼～～不會一次將話說清楚啊？一定要分批說嗎？"
永樂神社的巫女(06)圓(END),阿次,奇幻科幻,完結,0,飛燕文創,奇幻,,,,,https://mojoin.com/novels/2434,"在使盡所有手段以後，宗主終於在北方主殿舉辦婚禮準備迎娶伊織。
原本以為一切都會按自己的意思進行，卻沒想到他今天碰上的冶金更霸氣、更不要命。
逼得他放出六千年前差點毀滅整個大陸的超強大妖——八岐大蛇，但這個舉動卻驚動天庭出動大軍下凡。然而眾大神的目標不是大蛇，而是冶金……
橫刀奪愛只是邪教，提槍搶婚才叫霸氣！"
槍靈少女 前傳(03)尋鄉之旅(END),羽毛冰塊,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3343,"終於從學校畢業的溫璃踏上了尋找父母的道路，然而因為年代久遠，加上混亂的記憶，讓她的尋親之旅困難重重……
尋找父母的期間，一個個陌生而又熟悉的人出現在溫璃面前，原來有很多人、很多事，早在很久以前，她就已經遇到了……"
未知領域(03)詛咒之血(END),小山羊,奇幻科幻,完結,90,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3463,"「周成集團」──由龐大的姬氏家族所帶領，台灣屬一屬二的大財團。這個財團非但是「未知領域」的贊助者之一，並且擁有與未知領域相抗衡的龐大勢力。
2006年，周成集團正式與未知領域，展開實際意義上的對抗。

年輕的駭客情報商：醉，曾經在五年前得知關於姬氏家族與自己的糾葛與秘密。然而經過調查之下，醉發現其中有矛盾不尋常的地方：趁著周成集團與未知領域的抗衡，醉決心趁這個時候找出關於姬氏家族的真正秘密，卻發現更多讓人不解的謎團……？

被幽禁在偏遠離室的兒子，知道些什麼的心理醫生姬叔乾，以及掌握姬氏家族所謂「詛咒的血脈」機密的未知領域。這些讓人不解的事情背後，究竟隱藏著如何殘酷的事實？
都市玄疑冒險第三彈，將揭露驚人的真相！"
雨,Arzumu,奇幻科幻,完結,12,原創星球,冒險,架空,,,,https://mojoin.com/novels/3640,"雨都，米斯特被當地的人們如此稱呼。那是一個一年四季幾乎都下著細雨的城市，由於厚重溼氣的關係，整個都市常常被一股稀薄的霧氣壟罩。
或許是因為細雨和霧氣的關係，在城鎮中的孩子們之間流傳著一個傳說。據說，雨都中藏著誰也沒見過的秘密。只有運氣好的人，才能一瞥其隱藏的迷幻風貌。
當然，這都只是傳說，還沒真的有人親眼見過。不過，也有可能是因為親眼見識過的人，再也沒有回來。"
四次元與地下城與異世界！,風順,奇幻科幻,完結,0,原創星球,熱血,科幻,戰鬥,生存,穿越,https://mojoin.com/novels/1074,科學理性解釋穿越原理，理性分析能力源頭，被迫鍋居在地底的異世界，強者會變大或瞬移？（合理緣由與科學應證），弱者消散與墮落，這世界之謎真的有解開的一天嗎？
闇!!騎士(06)闇星的逆襲,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3424,"究竟是公主霉運當頭，或者洛特命中帶「賽」？
好好一個接近遊山玩水，美其名「體察民情」的私訪活動，竟能牽扯出一場潛伏不知多久的陰謀，與一個想要一飛沖天的大少爺。
最後甚至鬧出角鬥場大型械鬥，不但鬥氣色彩斑斕，元素炸彈更是滿天飛舞。
更厲害的是，這場「炸彈嘉年華」還炸出一段幾乎天衣無縫的人體實驗，以及三公主殿下隱諱的感情世界……"
黃泉之狩(08)真相,貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3399,"「你要活下去，為了季薰、也為了凱，你不可以讓他們兩人的性命白費。」魈認真的叮囑著，「改變懦弱的個性，讓自己變強，用盡一切手段生存下去，這是你唯一可以報答他們的方法。」
「我知道了。」維德胡亂抹乾臉上淚水，用力的點頭，「我、我一定會變得很厲害，以後遇到欣的時候，換我保護她！」
蛻變前的維德與成長後的魈，同時對自己的靈魂起誓，鄭重地許下守護的諾言。

搭乘上返家的馬車，似乎終於可以鬆一口氣，好好休息，然而，事情真有這麼順利嗎？
藏匿於暗處的惡魔再度現身，在追獵的同時，他也成了被追逐的一員……
「嘖！真是煩人的傢伙。」奧蘭特面露不悅，怒瞪著臨時現身的對手。
「我來取回我的東西。」在一身黑衣的映襯下，來者的膚色更顯蒼白。

除了惡魔的虎視眈眈以外，日後等待著季薰的命運，又會成現出什麼樣的轉折？
已故的亡者再度現身，為事件掀起另一股波瀾……"
夢靨的莉莉絲,七月鼠,奇幻科幻,完結,10,原創星球,魔法,宇宙,科幻,戰鬥,末世,https://mojoin.com/novels/3720,面對入侵地球的生物「夢靨」，獲得神明莉莉絲力量的少女們，今天也拚命戰鬥著。
月夜之歌～拾光裡有你～(03),蔚海,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3508,"「和我打一場公開的一對一競技賽吧，如果妳贏了，說不准我會把武器『送』給妳。」──拿著頌頌花尋覓已久的〈魔舞劍〉，挑釁的言語讓所有一切一觸即發。

妳的世界充滿光彩，還是黯淡無光？除了遊戲之外，有沒有讓妳感到重要的東西？
如果是以前，湯韶肯定會說沒有，都隨風去吧、隨風飄吧，不管是現在還是未來，她通通都不在乎。
可是，當有了想珍藏、想保護的事物之後，她會靠著自己的力量去守護。

「我的臉有這麼好看能讓妳這麼一直盯著？」
「唔……才、才沒有！我只是在想事情！」
邱昭明看著她，還想她應該對這次的合菜不太有興趣，沒想到會吃那麼多。
於是很不要臉的邱昭明又問：「想我的事？」

比想像中還有少女心的昭光Ｘ女漢子鋼鐵耿直GIRL頌頌花
乘著大家的祝福，用100%的力量用力放閃！"
血!!魔導(01)宿命的孽緣,暮辰,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3592,"搶劫皇家寶庫、介入奪嫡紛爭，史上最年輕的魔導士一路走來一路傳奇，儼然是世人眼中冉冉升起的一顆新星。
誰又知道，他的身體非生非死？
誰又曉得，他的仇敵手眼通天？
在他努力累積克敵資本時，致命觸角已經延伸到他的生活周遭。
為了暫絕隱患，勒斯不得不啟用一個決絕的主意，一個關於「人體炸彈客」的計畫……"
終焉之島X兵器少女(05)邁向終焉的王者之路(END),八爪魚,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3291,"煌日帝國的侵略行動，全面展開！

「藍色是代表靈魂的純淨光彩，紅色則是失去靈魂的絕望色。」

煌日帝國的二十萬大軍，軍臨反抗軍的最後陣線。
所有人嚴陣以待的同時，也知道這將是他們最後一戰。

天拓與剎那前往山區，會見古老的山之民，
這群最接近自然的戰士，其危險與神秘一樣悠久，
沒有人能保證他們能夠活著回來，但他們有著必須這麼做的理由。

同一時間，來自帝國內的最強將軍，
帶著無法逆轉的力量，來到眾人的面前──

兵器少女完結篇，終焉降臨！"
台灣勇者協會T.G.G(06)邁向終結的倒數,玥主朽紅,奇幻科幻,完結,22,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3591,"『謝謝你，安哥。』

█████████████████████
████████████
█████████████████████████
██████
███████████████

████████████
──────直到約定的那一天。
█████████"
饕餮食堂(02)連環圈套,逢時,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2914,"正式成為大一新鮮人的杜櫻，本來以為可以繼續學霸生涯……
結果迎接她的是更多光怪陸離的妖怪世界！

不管是什麼妖怪，全都是惡意滿滿❤
連環圈套，正式展開，杜櫻小獵犬，勇往直前的衝啊！

您好，今天想來點什麼呢？
今日限定是山蜘蛛腿佐南瓜燉飯、碳烤畢方翅膀糯米捲
歡迎點餐！"
饕餮食堂(04)真假杜櫻(END),逢時,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/2921,"「我想讓這份心意，成為一點點能夠羈絆你的可能。」

杜櫻終於告白，但她並不知道黎明之後……
即是有去無回的最後大戰。
常青與何邢共同約定，要保護好她。
什麼都不知道的她，這份心意注定落空。

大戰開始，城市淨空，失去電力的城市即將迎來黑暗期，
但如果這是自由的代價，你是否願意付出？"
逃離世界,蒼燁,奇幻科幻,完結,0,原創星球,虐心,都市,奇幻,生存,成長,https://mojoin.com/novels/3730,以考驗作為面對自我內心的困境。
黃泉之狩(07)羈絆,貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3398,"將關係進行了切割，是否就能保護對方不受傷害？
魈永生的敵人、Ｌ組織的首領──艾蒙終於現身，他的出現又會帶來什麼樣的衝擊？
魈、艾蒙、季薰三人之間，又會發生什麼樣的事件？
上天在他們身上加諸了什麼羈絆？導致三人的命運牽扯不已……

「你這個膽小鬼！逃避不能解決問題，你不知道嗎？」隔著屏障，季薰朝魈的背影大喊：「就算你離開了，事情也不會因為這樣就解決！」
「混蛋魈，死沒良心的大叔，停下來聽我說話是會死嗎？」她憤怒的握緊拳頭。
「我、我討厭你！你這個愛亂吃豆腐的色狼，不負責任的傢伙！隨便就拋棄我離開的冷血動物，大笨蛋！」
滿腔的怒氣越罵越無力，季薰頹然坐在地上，淚水自眼眶滑落。
似乎，不管她用什麼方式，她都再也喚不回、留不住他，一股焦躁而又無能為力的無力感盈滿她的心口……"
惡鬼補習班(02)熱熱鬧鬧招生月開鑼囉,望宸,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3465,"我是唐芯苗，十五歲。
今年夏天，我成為某補習班的工讀生，
但當我披荊斬棘終於正式上班時，才發現──　

除了我們招生組三人是僅有的人類外，
公司內下至學生，上至主任老師……

全、部、都、是、鬼！

陰曆七月初一，惡鬼補習班招生月正式展開！
身為班內最菜的菜鳥，種種難搞又荒唐的工作全落到唐芯苗身上。
幽冥界貼海報、重做出錯講義、帶新生搭電梯、陪有虐待傾向的名師到廢墟招生，還成為課後輔導計劃的實驗用小老師？
菜鳥唐芯苗打工以來最艱困的任務現身！
她該如何協助名為鄭泰的正太怨靈，成為百年難得一見的超級大惡鬼？"
零度領域 新裝版(10),貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3242,"經過了重重考驗，我們終於完成公會城任務啦！
不過，這隻奇怪的生物是什麼東西啊？
咦咦？就因為他們兄弟不合，就讓世界大亂？這、這未免也太……
得到公會城跟領地後，接下來要做什麼？
那還用問嗎？

我們要稱霸《零度領域》！
我們要創造傳說！
我們要成為排行榜上的強者！
我們、我們、我們要邁向結局啦～～

零度領域最終回，結局即將揭曉！"
黃泉之狩(06)圈套,貓邏,奇幻科幻,完結,0,飛燕文創,奇幻,科幻,,,,https://mojoin.com/novels/3382,"我唯一的摯友，金恩：
當這項計畫失敗後，與我合作的罪人必會重起爐灶，再次奪取那份力量，倘若對方成功，這世界的命運將會被扭轉……

「計畫成功了嗎？」
「咯咯咯，失敗了，嚴重失敗。不僅門沒有打開，伊格爾自己也死了，咯咯咯。」
「是嗎？那還真可惜，我對那個理論挺感興趣。」嘴上說著可惜，男子臉上卻平靜無波，沒有多餘的情緒。
「咯咯咯，他的理論沒有錯，只是準備的不夠完善。」特倫斯暴凸的雙眼發出綠色幽光，「我已經將資料複製下來，等我準備完成……咯咯咯。」

「妳好，我是調查局的偵查員，有件事情想請妳協助……」

意外地，季薰面前出現自稱是調查員的男子，從對方口中，她得知魈的過去，強大的衝擊讓她腦袋一片空白……"
Math Server Volume 3,伍德．瓦懷特,奇幻科幻,完結,0,原創星球,長篇,解謎,戰鬥,青春,日常,https://mojoin.com/novels/57,"讀者引頸期盼，直搗主角們過往的新冊登場！
融合戰鬥、成長、解謎的現代輕奇幻「Math Server」系列第三集開幕！"
